,label,text
73,1,The cost of health care is now the single-biggest factor driving down the federal budget deficit.
74,1,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent."
75,0,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.
77,0,Says Charlie Crist supports cuts to the Medicare Advantage program.
79,1,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
81,0,"In the past 20 years, Egypt has made great strides in political and democratic reform."
82,0,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.
83,1,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.
85,1,There is a federal criminal law that says its a crime to transport dentures across state lines.
86,1,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
88,0,Austin is burdened by the fastest-growing tax increases of any major city in the nation.
89,0,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world."
90,1,I belong to the AFL-CIO.
91,1,The insurance commissioner cant do squat about health care.
95,1,Did you know US population growth is at its lowest since the Great Depression?
96,1,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones."
97,1,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history."
98,1,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.
99,0,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.
100,0,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years."
101,1,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty."
102,1,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism."
103,0,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO."
104,1,Sen. Obama has always had a 100 percent prochoice rating.
106,1,The (federal) debt is growing by more than $4 billion a day.
108,0,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old."
109,1,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.
113,1,The economy is creating jobs at the fastest pace since 1999.
114,1,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.
115,1,"In a majority of states, you can now marry freely, but can still be fired for who you love."
116,0,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.
117,0,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency."""
118,0,"About half of the presidents have been governors; half of them, senators."
119,1,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s."
120,1,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years."
121,1,Says 88 Texas constables have died in the line of duty.
122,1,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000."
123,1,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions."
124,1,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man."
125,1,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.
126,0,The Air Force wants taxpayers to fund a fantasy football league.
127,0,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.
129,1,Some neighborhood schools are closing.
130,1,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.
131,1,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered."
133,1,Says the U.S. Supreme Court found that Social Security is not guaranteed.
134,0,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.
135,1,Oregonians have an amazing no-cost way to fight abortion with free political donations
136,0,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country."
138,1,Newt Gingrichs immigration plan offers a new doorway to amnesty.
139,0,Mr. Caprio is a career politician who has never worked in the private sector.
141,1,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!"
142,1,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.
144,1,"Hillary Clinton has taken over $800,000 from lobbyists."
145,0,Barack Obama has never even worked in business.
147,0,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.
149,1,Were now spending 42 percent of our economy on government.
151,0,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas."
153,0,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.
154,1,"Whether you like to admit it or not, half our general revenue goes to education."
155,0,Im the only one whos fought against developers draining the Everglades!
163,0,We have more illegal immigrants here than we did five years ago.
165,0,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.
166,0,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage."
167,1,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.
169,1,There are already more American jobs in the solar industry than in coal mining.
172,1,"Romney failed to take action against ""sanctuary cities"" in Massachusetts."
174,0,Says Thomas Eric Duncan came into the United States with an elevated temperature.
175,1,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.
177,1,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.
178,1,Says judges get better benefits at a lower cost than everybody else in the state.
179,1,There are a lot of casinos across the country that have gone bankrupt.
180,1,Small businesses create 70 percent of the jobs in America.
183,1,If Texas were a country our economy would rank # 10...in the WORLD.
184,0,There are more oil rigs in operation in the United States than the rest of the world combined.
187,1,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.
188,0,The Obama administration shut down the Amber Alert program because of the government shutdown.
189,1,The Republicans have 2 percent of the Muslim vote.
190,1,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!"
191,0,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output."
193,1,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose."
194,1,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.
195,0,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500."
196,0,Not one Republican has the guts to recognize that climate change is real.
198,0,David Dewhurst has a record of promoting an income tax.
199,1,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons
201,0,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border."
203,0,Says Obama health reform law denies millions access to affordable insurance.
205,0,Close to 30% of our federal prison population consists of illegal immigrants.
206,0,Says Rick Scott called education not a core function of the state.
207,0,"The Family Research Council, according to some government agencies, is a terrorist group."
208,1,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children."
209,1,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.
210,0,Obamacare is the biggest tax increase in American history.
211,1,You ... said that Barack Obama was not ready to be commander in chief.
212,1,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically."
214,1,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.
215,1,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support."
216,0,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.
219,1,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade."
221,1,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.
223,1,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.
224,1,"Democratic presidents ""have been considerably more effective at creating private-sector jobs."""
225,1,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."""
229,1,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%."
231,1,The Paul Ryan budget proposal would privatize Medicare.
232,1,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.
234,0,Says Marco Rubio is the one for an open border.
235,1,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat."
238,1,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.
239,0,Providences port is 200 miles closer to Europe than any other Eastern port.
240,1,Says you need a photo ID to purchase Sudafed in Texas.
241,1,Twenty percent of housing in Portlands Pearl District is affordable.
242,1,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012."
245,1,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent."
247,0,We now have driven (health care) costs down to the lowest theyve been in 50 years.
250,1,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent."""
251,1,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough."
253,0,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.
255,1,Warren (Buffett) still does support me.
256,1,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.
257,0,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!
258,1,"About 230,000 people that were on unemployment when I took office are not on unemployment now."
260,0,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.
261,0,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.
262,1,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years."
263,0,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.
265,0,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises."
267,1,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent."
270,1,Nearly half of all pregnancies in the U.S. are unintended.
274,0,The top 1 percent pay over half of the entire revenue for this country.
278,0,Says he never said he would keep education funding the same.
279,1,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation."
281,1,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget."
282,0,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.
286,1,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.
287,0,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies."
288,0,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs."
289,0,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!
290,1,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.
291,1,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs."
295,0,Texas this fiscal year will have more money in reserve than the other 49 states combined.
296,0,On using the Strategic Petroleum Reserve.
297,1,Immigrants are more fertile.
298,1,"The proposed education changes ""will not cut one teacher's pay."""
299,0,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.
300,1,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.
301,0,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.
302,0,We spend less on defense today as % of GDP than at any time since Pearl Harbor.
303,1,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.
305,0,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.
308,1,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.
309,1,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital."
315,1,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun."
316,0,The people of Rhode Island dont want same-sex marriage.
321,1,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts."
323,0,74 percent of Republicans support the Affordable Care Act.
326,0,Says Alex Sink failed Florida homeowners by using predatory lending practices.
329,0,Says that Starbucks took Christmas off of their brand new cups.
330,1,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.
331,0,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding."
332,1,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools."
333,1,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year."
336,1,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005."
338,1,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.
339,1,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.
340,1,"We are younger than our competitors, and this is entirely because of immigration."
342,1,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home."
347,1,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.
349,0,"Most young Americans right now, theyre not covered by health insurance."
350,1,"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent."
351,1,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide."
352,0,Says two-thirds of groups targeted for IRS scrutiny were not conservative.
353,0,"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin."
356,1,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically."
359,1,Says Texas routinely gets a lot more federal spending than it pays in taxes.
360,0,Cell phone numbers go public this month.
362,0,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.
363,1,Says Texas has 11 different felonies you can commit with an oyster.
364,0,The Obama administration is unwinding our nations welfare-to-work requirements.
365,1,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1."
371,1,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.
372,0,"Shes voted for 60 tax increases, hurting the middle class and small businesses."
374,0,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet."
376,1,A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.
378,0,"If black America were a country, itd be the 15th wealthiest nation in the world."
381,1,2008 was the deadliest year of the war (in Afghanistan) for American forces.
382,1,"Florida teachers are ""already paid $5,000 below the national average."""
384,1,Says Amanda Fritz manages less than 5 percent of city operations.
388,0,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.
389,1,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities."
390,0,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.
391,1,On offshore drilling for energy
393,0,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option."""
395,1,I haven't missed a vote since 1993.
397,1,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.
398,0,Jorge Elorza wants to impose a municipal income tax.
400,0,Roughly 25% of RI has a criminal record
404,0,Massachusetts public schools teach kids as young as kindergartners about gay marriage.
405,0,I'm probably one of the four or five best-known Americans in the world.
407,1,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.
409,1,Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.
411,1,"Hillary Clinton ""starts off with 47 percent of the country against her."""
412,0,SaysRand Paulhas put out budgets to cut the military in half.
414,1,Says legislative cuts mean Texas is spending on average $500 less per student.
417,1,Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.
418,0,"The fundraising numbers are in, and our grassroots support is unmatched!"
419,1,Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.
420,1,"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force."
421,0,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.
423,1,"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union."
424,1,"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media."
426,1,"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs."
429,0,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.
430,0,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.
432,1,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected."
434,1,"The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama."
438,1,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity."
439,1,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.
440,0,"ISIS camp a few miles from Texas, Mexican authorities confirm."
441,0,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.
442,0,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.
443,0,The unemployment rate may be as high as 42 percent.
444,1,"Common Core is not from the federal government, they do not have their fingerprints on this thing at all."
445,0,Social Security is indeed a Ponzi scheme.
447,1,What the Arizona law does is make a state crime out of something that already is... a federal crime.
448,0,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open."
449,1,"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants."
450,0,The omnibus bill has only $3.8 billion in earmarks.
451,1,Trump proposed enacting the largest tax increase in American history.
452,1,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget."
455,1,We pay among the highest tolls in the nation for the privilege of crossing that bridge.
459,0,Says Kay Bailey Hutchison voted for sanctuary cities.
462,1,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign."""
465,1,"This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years."
466,0,John wasn't this raging populist four years ago when he ran for president.
467,1,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.
468,0,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.
469,0,Crime is rising.
470,1,"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water."
472,0,"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah."
473,0,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care."
475,0,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change."
478,0,"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it."
479,0,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.
480,0,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.
483,0,An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.
484,0,The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.
485,0,"Under a bill before the legislature, youd have to go to court to fire an employee."
486,1,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.
487,1,"In the entire public school system in Camden last year, only three students graduated college ready."
488,1,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage."
489,0,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime."""
493,1,Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.
496,1,The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.
497,1,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation."
500,0,There were more people on welfare than working in 2013.
502,1,Says State Rep. Kristi Thibaut was an ACORN lobbyist.
505,1,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan."
506,0,Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.
508,0,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share"
509,1,Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.
510,1,Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.
511,1,"One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids dont graduate."
513,0,"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado."
514,0,Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.
515,1,Texas leads the nation in the percentage of residents without health insurance.
516,0,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.
517,0,A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.
519,0,Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.
521,1,"Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month."
524,1,Says Ohio law gives tax breaks to rich people who own private jets.
526,0,Says Paul Ryans budget plan ends Medicare.
528,1,Says New Hampshire has the third-highest property tax in the country.
529,1,"Obama's tax plan cuts taxes ""for 95 percent of all working families."""
531,0,59 percent of Americans today believe that Barack Obama is still a Muslim.
532,0,Carol Shea-Porter wants to increase taxes on small business and job creators.
534,1,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.
535,0,On whether the United States should intervene in Libya.
538,1,Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.
540,0,"What we said was, you can keep (your plan) if it hasnt changed since the law passed."
541,1,"In 2006, Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants."
542,0,"Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida."
543,0,Says she was the first in her family to go to a four-year college.
544,1,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money."
545,1,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent."
546,0,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions."""
547,1,Americans spend 6.1 billion hours a year on tax preparation.
548,1,The budget I managed at the Department of Education was more than $60 million.
549,0,"We are now, for the first time ever, energy independent."
550,1,"Last year, Exxon pocketed nearly $4.7 million every hour."
552,0,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns."
553,1,"Right now, 50 percent of Florida students leaving high school cannot read at grade level."
554,1,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.
557,0,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.
558,1,On letting Occupy Atlanta protesters stay in Woodruff Park.
560,1,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850."
561,1,"In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year."
562,1,"On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries."
563,1,Every president has raised the debt ceiling.
